,linear_mul,loss,lr,lstm_size,trial_num
135,2.0,0.014576834067702294,0.1,32.0,3.0
136,4.0,0.009712702501565218,0.1,32.0,3.0
137,8.0,0.0015396616033588847,0.1,32.0,3.0
138,2.0,0.025739403317372005,0.1,64.0,3.0
139,4.0,0.002746623482865592,0.1,64.0,3.0
140,8.0,0.001801942081268256,0.1,64.0,3.0
141,2.0,0.007051966432482004,0.1,128.0,3.0
142,4.0,0.018319471490879854,0.1,128.0,3.0
143,8.0,0.006928496124843756,0.1,128.0,3.0
144,2.0,0.09161200871070226,0.001,16.0,4.0
145,4.0,0.09358212103446324,0.001,16.0,4.0
146,8.0,0.10483752439419429,0.001,16.0,4.0
147,2.0,0.035895705595612525,0.001,32.0,4.0
148,4.0,0.04811807150642077,0.001,32.0,4.0
149,8.0,0.0493264210720857,0.001,32.0,4.0
150,2.0,0.030768130471309028,0.001,64.0,4.0
151,4.0,0.0285734328130881,0.001,64.0,4.0
152,8.0,0.029182463015119234,0.001,64.0,4.0
153,2.0,0.012885993408660094,0.001,128.0,4.0
154,4.0,0.017321207250157993,0.001,128.0,4.0
155,8.0,0.01872533168643713,0.001,128.0,4.0
156,2.0,0.008731202129274607,0.01,16.0,4.0
157,4.0,0.005985042018194994,0.01,16.0,4.0
158,8.0,0.005801919335499406,0.01,16.0,4.0
159,2.0,0.005162706257154545,0.01,32.0,4.0
160,4.0,0.003118693766494592,0.01,32.0,4.0
161,8.0,0.0024734960946564875,0.01,32.0,4.0
162,2.0,0.004385251024117073,0.01,64.0,4.0
163,4.0,0.0026371028972789643,0.01,64.0,4.0
164,8.0,0.0012418541242368518,0.01,64.0,4.0
165,2.0,0.0033273204889458915,0.01,128.0,4.0
166,4.0,0.0013184982555685565,0.01,128.0,4.0
167,8.0,0.0008897002563268568,0.01,128.0,4.0
168,2.0,0.015041570365428924,0.1,16.0,4.0
169,4.0,0.007525786415984234,0.1,16.0,4.0
170,8.0,0.014487238911290964,0.1,16.0,4.0
171,2.0,0.004364707794350883,0.1,32.0,4.0
172,4.0,0.002677701289455096,0.1,32.0,4.0
173,8.0,0.001330407503216217,0.1,32.0,4.0
174,2.0,0.007145476558556159,0.1,64.0,4.0
175,4.0,0.0012551458668895066,0.1,64.0,4.0
176,8.0,0.37209288477897645,0.1,64.0,4.0
